title,price,publisher,units
Avengers Vs X-Men,3.99,Marvel,178330.0
Avengers Vs X-Men,3.99,Marvel,175695.0
Batman,3.99,DC,134605.0
Justice League,3.99,DC,131332.0
Batman Annual,4.99,DC,101394.0
AVX Vs,3.99,Marvel,98819.0
Batman Incorporated,2.99,DC,96486.0
Detective Comics,3.99,DC,96016.0
Action Comics,3.99,DC,88796.0
Green Lantern,2.99,DC,87601.0
Earth 2,3.99,DC,86168.0
Batman The Dark Knight,2.99,DC,82169.0
Batman And Robin,2.99,DC,75967.0
Uncanny X-Men,3.99,Marvel,69265.0
Avengers,3.99,Marvel,67744.0
Wolverine And X-Men,3.99,Marvel,64936.0
New Avengers,3.99,Marvel,64326.0
Wolverine And X-Men,3.99,Marvel,63650.0
Flash,2.99,DC,62807.0
Worlds Finest,2.99,DC,62578.0
Superman,2.99,DC,62232.0
Nightwing,2.99,DC,61395.0
Aquaman,2.99,DC,60527.0
Batgirl,2.99,DC,58710.0
Amazing Spider-Man,3.99,Marvel,58337.0
Amazing Spider-Man,3.99,Marvel,58121.0
Astonishing X-Men,3.99,Marvel,57931.0
Walking Dead,2.99,Image,53733.0
Uncanny X-Force,4.99,Marvel,50851.0
Teen Titans,2.99,DC,50261.0
Walking Dead,2.99,Image,49974.0
Secret Avengers,3.99,Marvel,49851.0
Catwoman,2.99,DC,49726.0
Red Hood And The Outlaws,2.99,DC,48798.0
Wonder Woman,2.99,DC,48750.0
Green Lantern Corps,2.99,DC,46336.0
X-Men Legacy,2.99,Marvel,46279.0
Green Lantern New Guardians,2.99,DC,46237.0
Teen Titans Annual,4.99,DC,44415.0
Batwoman,2.99,DC,43942.0
Avengers Assemble,3.99,Marvel,43886.0
X-Men Legacy,2.99,Marvel,43199.0
X-O Manowar,3.99,Valiant,42708.0
Ultimate Comics Spider-Man,3.99,Marvel,42356.0
Incredible Hulk,3.99,Marvel,42076.0
Amazing Spider-Man Annual,3.99,Marvel,41879.0
Birds Of Prey,2.99,DC,41521.0
Dial H,2.99,DC,40777.0
Fantastic Four,2.99,Marvel,39914.0
Ravagers,2.99,DC,39807.0
Fantastic Four,2.99,Marvel,39475.0
Swamp Thing,2.99,DC,39385.0
Daredevil,2.99,Marvel,39231.0
Red Lanterns,2.99,DC,39215.0
Daredevil,2.99,Marvel,39056.0
Captain America,3.99,Marvel,39012.0
Saga,2.99,Image,38895.0
Captain America,3.99,Marvel,38800.0
Incredible Hulk,2.99,Marvel,38472.0
Avenging Spider-Man,3.99,Marvel,38012.0
X-Men,3.99,Marvel,35838.0
Batwing,2.99,DC,35731.0
Animal Man,2.99,DC,35699.0
X-Men,3.99,Marvel,35483.0
Supergirl,2.99,DC,35129.0
Wolverine,3.99,Marvel,34873.0
Superboy,2.99,DC,34838.0
Justice League Dark,2.99,DC,34649.0
FF,2.99,Marvel,34555.0
Wolverine,3.99,Marvel,34485.0
Suicide Squad,2.99,DC,32581.0
Justice League International,2.99,DC,32558.0
Mighty Thor,3.99,Marvel,32550.0
Age Of Apocalypse,2.99,Marvel,32085.0
Animal Man Annual,4.99,DC,31710.0
Invincible Iron Man,3.99,Marvel,31536.0
All Star Western,3.99,DC,31413.0
Invincible Iron Man,3.99,Marvel,31374.0
Ultimate Comics Ultimates,3.99,Marvel,31344.0
