date,earnings
Jul 17 2015,22649199
Jul 18 2015,19464976
Jul 19 2015,15111351
Jul 20 2015,6403901
Jul 21 2015,7853189
Jul 22 2015,5120474
Jul 23 2015,4707439
Jul 24 2015,7252683
Jul 25 2015,9853066
Jul 26 2015,7803583
Jul 27 2015,3322992
Jul 28 2015,4265463
Jul 29 2015,3005710
Jul 30 2015,2714893
Jul 31 2015,3680194
Aug 1 2015,5112373
Aug 2 2015,4010077
Aug 3 2015,1887811
Aug 4 2015,2237124
Aug 5 2015,1648774
Aug 6 2015,1505274
Aug 7 2015,2279459
Aug 8 2015,3258855
Aug 9 2015,2373131
Aug 10 2015,1092833
Aug 11 2015,1519440
Aug 12 2015,990758
Aug 13 2015,925231
Aug 14 2015,1538035
Aug 15 2015,2290327
Aug 16 2015,1665055
Aug 17 2015,686205
Aug 18 2015,919545
Aug 19 2015,660581
Aug 20 2015,626369
Aug 21 2015,1164309
Aug 22 2015,1741268
Aug 23 2015,1149888
Aug 24 2015,391081
Aug 25 2015,523960
Aug 26 2015,361943
Aug 27 2015,363707
Aug 28 2015,780275
Aug 29 2015,1413433
Aug 30 2015,879408
Aug 31 2015,279286
Sep 1 2015,327557
Sep 2 2015,241374
Sep 3 2015,248841
Sep 4 2015,633593
Sep 5 2015,1111245
Sep 6 2015,1120720
Sep 7 2015Labor Day,903395
Sep 8 2015,189392
Sep 9 2015,136695
Sep 10 2015,129381
Sep 11 2015,402323
Sep 12 2015,811713
Sep 13 2015,443881
Sep 14 2015,127061
Sep 15 2015,139389
Sep 16 2015,107606
Sep 17 2015,91752
Sep 18 2015,227937
Sep 19 2015,448536
Sep 20 2015,246512
Sep 21 2015,65166
Sep 22 2015,86008
Sep 23 2015,87864
Sep 24 2015,66387
Sep 25 2015,96557
Sep 26 2015,169243
Sep 27 2015,87203
Sep 28 2015,30551
Sep 29 2015,35885
Sep 30 2015,29646
Oct 1 2015,24737
