date,earnings
Jul 6 2018,33725082
Jul 7 2018,23555372
Jul 8 2018,18531751
Jul 9 2018,6983824
Jul 10 2018,10042976
Jul 11 2018,5852591
Jul 12 2018,5293629
Jul 13 2018,8431124
Jul 14 2018,11756671
Jul 15 2018,8910064
Jul 16 2018,3566526
Jul 17 2018,5506525
Jul 18 2018,3349910
Jul 19 2018,2992247
Jul 20 2018,4483139
Jul 21 2018,6609304
Jul 22 2018,5414713
Jul 23 2018,2272573
Jul 24 2018,3315774
Jul 25 2018,2271063
Jul 26 2018,1859269
Jul 27 2018,2519657
Jul 28 2018,3511225
Jul 29 2018,2735218
Jul 30 2018,1278835
Jul 31 2018,1908663
Aug 1 2018,1376054
Aug 2 2018,1227656
Aug 3 2018,1831798
Aug 4 2018,2593399
Aug 5 2018,1939303
Aug 6 2018,948840
Aug 7 2018,1244667
Aug 8 2018,894546
Aug 9 2018,736356
Aug 10 2018,1108734
Aug 11 2018,1754273
Aug 12 2018,1240629
Aug 13 2018,533783
Aug 14 2018,752759
Aug 15 2018,461489
Aug 16 2018,423639
Aug 17 2018,704069
Aug 18 2018,1150966
Aug 19 2018,791821
Aug 20 2018,289360
Aug 21 2018,454410
Aug 22 2018,288595
Aug 23 2018,241828
Aug 24 2018,470639
Aug 25 2018,816664
Aug 26 2018,504533
Aug 27 2018,172381
Aug 28 2018,240289
Aug 29 2018,151989
Aug 30 2018,137264
Aug 31 2018,321257
Sep 1 2018,541757
Sep 2 2018,538400
Sep 3 2018Labor Day,415985
Sep 4 2018,104042
Sep 5 2018,64151
Sep 6 2018,57151
Sep 7 2018,137384
Sep 8 2018,309439
Sep 9 2018,172187
Sep 10 2018,53071
Sep 11 2018,65418
Sep 12 2018,41087
Sep 13 2018,36004
Sep 14 2018,101683
Sep 15 2018,185969
Sep 16 2018,101975
Sep 17 2018,29115
Sep 18 2018,42384
Sep 19 2018,33240
Sep 20 2018,26049
Sep 21 2018,72291
Sep 22 2018,133320
Sep 23 2018,64617
Sep 24 2018,20847
Sep 25 2018,27625
Sep 26 2018,19661
Sep 27 2018,14305
Sep 28 2018,68745
Sep 29 2018,122999
Sep 30 2018,72077
Oct 1 2018,18592
Oct 2 2018,26006
Oct 3 2018,18385
Oct 4 2018,19150
Oct 5 2018,36441
Oct 6 2018,57753
Oct 7 2018,39932
Oct 8 2018Indig. Peoples' Day,20630
Oct 9 2018,13766
Oct 10 2018,12409
Oct 11 2018,12183
Oct 12 2018,23243
Oct 13 2018,41799
Oct 14 2018,24518
Oct 15 2018,6764
Oct 16 2018,7921
Oct 17 2018,7060
Oct 18 2018,8984
Oct 19 2018,14070
Oct 20 2018,23204
Oct 21 2018,13254
Oct 22 2018,3647
Oct 23 2018,3597
Oct 24 2018,3128
Oct 25 2018,3895
Oct 26 2018,6807
Oct 27 2018,11361
Oct 28 2018,6868
Oct 29 2018,1900
Oct 30 2018,2018
Oct 31 2018Halloween,2350
Nov 1 2018,2412
