date,earnings
May 1 2015,84424532
May 2 2015,56526635
May 3 2015,50319942
May 4 2015,13228555
May 5 2015,13132812
May 6 2015,9409838
May 7 2015,8613154
May 8 2015,21232362
May 9 2015,33835656
May 10 2015,22678911
May 11 2015,5398779
May 12 2015,5990413
May 13 2015,4342154
May 14 2015,4037065
May 15 2015,10019125
May 16 2015,17204358
May 17 2015,11636417
May 18 2015,3435547
May 19 2015,3020580
May 20 2015,2329898
May 21 2015,2353746
May 22 2015,5356424
May 23 2015,8286236
May 24 2015,8049037
May 25 2015Memorial Day,6507209
May 26 2015,1949182
May 27 2015,1429415
May 28 2015,1402043
May 29 2015,2883572
May 30 2015,4917855
May 31 2015,3599975
Jun 1 2015,1082288
Jun 2 2015,1261068
Jun 3 2015,973884
Jun 4 2015,945229
Jun 5 2015,1842660
Jun 6 2015,2656411
Jun 7 2015,1840592
Jun 8 2015,747554
Jun 9 2015,851565
Jun 10 2015,718865
Jun 11 2015,630675
Jun 12 2015,1064656
Jun 13 2015,1522453
Jun 14 2015,1087948
Jun 15 2015,451436
Jun 16 2015,502192
Jun 17 2015,442554
Jun 18 2015,426496
Jun 19 2015,734327
Jun 20 2015,1041234
Jun 21 2015,1071843
Jun 22 2015,325340
Jun 23 2015,390085
Jun 24 2015,316379
Jun 25 2015,306094
Jun 26 2015,482413
Jun 27 2015,703101
Jun 28 2015,503424
Jun 29 2015,248127
Jun 30 2015,240934
Jul 1 2015,162998
Jul 2 2015,219026
Jul 3 2015,363582
Jul 4 2015Independence Day,269388
Jul 5 2015,253181
Jul 6 2015,140338
Jul 7 2015,155118
Jul 8 2015,136103
Jul 9 2015,120094
Jul 10 2015,128301
Jul 11 2015,185695
Jul 12 2015,141768
Jul 13 2015,69841
Jul 14 2015,83314
Jul 15 2015,74545
Jul 16 2015,63821
