date,earnings
Apr 26 2019,157461641
Apr 27 2019,109264122
Apr 28 2019,90389244
Apr 29 2019,36874439
Apr 30 2019,33110349
May 1 2019,25251991
May 2 2019,21542852
May 3 2019,40736774
May 4 2019,61527049
May 5 2019,45119388
May 6 2019,10709607
May 7 2019,12518963
May 8 2019,8429166
May 9 2019,7510154
May 10 2019,16190479
May 11 2019,27542359
May 12 2019,19567066
May 13 2019,4702092
May 14 2019,5742618
May 15 2019,3788021
May 16 2019,3416496
May 17 2019,7470727
May 18 2019,12903478
May 19 2019,9599300
May 20 2019,3162240
May 21 2019,2900871
May 22 2019,1994512
May 23 2019,1905738
May 24 2019,4278676
May 25 2019,6452368
May 26 2019,6469698
May 27 2019Memorial Day,4863113
May 28 2019,1867668
May 29 2019,1288624
May 30 2019,1136901
May 31 2019,2074012
Jun 1 2019,3380393
Jun 2 2019,2583086
Jun 3 2019,869816
Jun 4 2019,1208347
Jun 5 2019,900345
Jun 6 2019,861157
Jun 7 2019,1251593
Jun 8 2019,2035511
Jun 9 2019,1583859
Jun 10 2019,598373
Jun 11 2019,790276
Jun 12 2019,601476
Jun 13 2019,547331
Jun 14 2019,832020
Jun 15 2019,1385165
Jun 16 2019,1508670
Jun 17 2019,470423
Jun 18 2019,598268
Jun 19 2019,459630
Jun 20 2019,380431
Jun 21 2019,530906
Jun 22 2019,818809
Jun 23 2019,638134
Jun 24 2019,272691
Jun 25 2019,346028
Jun 26 2019,266300
Jun 27 2019,299327
Jun 28 2019,1874259
Jun 29 2019,2298821
Jun 30 2019,1935656
Jul 1 2019,873149
Jul 2 2019,585678
Jul 3 2019,624819
Jul 4 2019Independence Day,789290
Jul 5 2019,1075221
Jul 6 2019,1215061
Jul 7 2019,828035
Jul 8 2019,381012
Jul 9 2019,506745
Jul 10 2019,384327
Jul 11 2019,354905
Jul 12 2019,600453
Jul 13 2019,840087
Jul 14 2019,663736
Jul 15 2019,332736
Jul 16 2019,437462
Jul 17 2019,354276
Jul 18 2019,280304
Jul 19 2019,460931
Jul 20 2019,597841
Jul 21 2019,455969
Jul 22 2019,257846
Jul 23 2019,306920
Jul 24 2019,267954
Jul 25 2019,259095
Jul 26 2019,294644
Jul 27 2019,411659
Jul 28 2019,246306
Jul 29 2019,130571
Jul 30 2019,154435
Jul 31 2019,119142
Aug 1 2019,115829
Aug 2 2019,112100
Aug 3 2019,151897
Aug 4 2019,119161
Aug 5 2019,65861
Aug 6 2019,69997
Aug 7 2019,56021
Aug 8 2019,48396
Aug 9 2019,56272
Aug 10 2019,86232
Aug 11 2019,67488
Aug 12 2019,31799
Aug 13 2019,33550
Aug 14 2019,24868
Aug 15 2019,21669
Aug 16 2019,28714
Aug 17 2019,42958
Aug 18 2019,29077
Aug 19 2019,11510
Aug 20 2019,12546
Aug 21 2019,11143
Aug 22 2019,10821
Aug 23 2019,13186
Aug 24 2019,22021
Aug 25 2019,15061
Aug 26 2019,4865
Aug 27 2019,5529
Aug 28 2019,4811
Aug 29 2019,5113
Aug 30 2019,15229
Aug 31 2019,27112
Sep 1 2019,28434
Sep 2 2019Labor Day,16062
Sep 3 2019,2820
Sep 4 2019,2448
Sep 5 2019,2579
Sep 6 2019,3050
Sep 7 2019,5476
Sep 8 2019,4154
Sep 9 2019,940
Sep 10 2019,2098
Sep 11 2019,1934
Sep 12 2019,1663
