date,earnings
Apr 27 2018,106334939
Apr 28 2018,82131612
Apr 29 2018,69231632
Apr 30 2018,24740117
May 1 2018,23426108
May 2 2018,16966862
May 3 2018,15501270
May 4 2018,31453749
May 5 2018,46676705
May 6 2018,36644356
May 7 2018,8283575
May 8 2018,10673500
May 9 2018,7051981
May 10 2018,6895697
May 11 2018,15986612
May 12 2018,26938937
May 13 2018,19152498
May 14 2018,4625938
May 15 2018,6009292
May 16 2018,4193985
May 17 2018,3441594
May 18 2018,7306785
May 19 2018,12791859
May 20 2018,9354259
May 21 2018,2708094
May 22 2018,2859727
May 23 2018,1901495
May 24 2018,1911460
May 25 2018,4234857
May 26 2018,6473278
May 27 2018,6586522
May 28 2018Memorial Day,5159885
May 29 2018,1978217
May 30 2018,1464526
May 31 2018,1407009
Jun 1 2018,2819868
Jun 2 2018,4511768
Jun 3 2018,3175643
Jun 4 2018,1163591
Jun 5 2018,1555271
Jun 6 2018,1073676
Jun 7 2018,1098950
Jun 8 2018,1836286
Jun 9 2018,2998633
Jun 10 2018,2403780
Jun 11 2018,922933
Jun 12 2018,1182541
Jun 13 2018,895177
Jun 14 2018,766901
Jun 15 2018,1454197
Jun 16 2018,1992161
Jun 17 2018,1995903
Jun 18 2018,641605
Jun 19 2018,857456
Jun 20 2018,628375
Jun 21 2018,510802
Jun 22 2018,727411
Jun 23 2018,1090221
Jun 24 2018,766596
Jun 25 2018,352045
Jun 26 2018,470116
Jun 27 2018,346667
Jun 28 2018,345207
Jun 29 2018,439213
Jun 30 2018,615309
Jul 1 2018,488182
Jul 2 2018,288063
Jul 3 2018,393874
Jul 4 2018Independence Day,385514
Jul 5 2018,236607
Jul 6 2018,285749
Jul 7 2018,387255
Jul 8 2018,263331
Jul 9 2018,131183
Jul 10 2018,160049
Jul 11 2018,134060
Jul 12 2018,112336
Jul 13 2018,179449
Jul 14 2018,265804
Jul 15 2018,176127
Jul 16 2018,95577
Jul 17 2018,125174
Jul 18 2018,96512
Jul 19 2018,91442
Jul 20 2018,114703
Jul 21 2018,173427
Jul 22 2018,137336
Jul 23 2018,73028
Jul 24 2018,88989
Jul 25 2018,74534
Jul 26 2018,60539
Jul 27 2018,115836
Jul 28 2018,163772
Jul 29 2018,126400
Jul 30 2018,61889
Jul 31 2018,74496
Aug 1 2018,60912
Aug 2 2018,57450
Aug 3 2018,71327
Aug 4 2018,102563
Aug 5 2018,79956
Aug 6 2018,37182
Aug 7 2018,40487
Aug 8 2018,35985
Aug 9 2018,31774
Aug 10 2018,54164
Aug 11 2018,83439
Aug 12 2018,51971
Aug 13 2018,24153
Aug 14 2018,23619
Aug 15 2018,19040
Aug 16 2018,18376
Aug 17 2018,27427
Aug 18 2018,42753
Aug 19 2018,30382
Aug 20 2018,9993
Aug 21 2018,11661
Aug 22 2018,9201
Aug 23 2018,8394
Aug 24 2018,12487
Aug 25 2018,24708
Aug 26 2018,17811
Aug 27 2018,4850
Aug 28 2018,5551
Aug 29 2018,5141
Aug 30 2018,5936
Aug 31 2018,12082
Sep 1 2018,25057
Sep 2 2018,21923
Sep 3 2018Labor Day,15041
Sep 4 2018,2816
Sep 5 2018,2502
Sep 6 2018,2118
Sep 7 2018,4196
Sep 8 2018,9558
Sep 9 2018,6543
Sep 10 2018,1450
Sep 11 2018,1616
Sep 12 2018,1608
Sep 13 2018,1808
