date,earnings
Feb 16 2018,75941146
Feb 17 2018,65995366
Feb 18 2018,60067439
Feb 19 2018Presidents' Day,40151729
Feb 20 2018,20857361
Feb 21 2018,14688057
Feb 22 2018,14253324
Feb 23 2018,28789877
Feb 24 2018,47553478
Feb 25 2018,35315480
Feb 26 2018,8098481
Feb 27 2018,10204038
Feb 28 2018,6876570
Mar 1 2018,6607691
Mar 2 2018,16257536
Mar 3 2018,30052665
Mar 4 2018,19996734
Mar 5 2018,4720738
Mar 6 2018,6258583
Mar 7 2018,3941783
Mar 8 2018,4251525
Mar 9 2018,10018784
Mar 10 2018,18352112
Mar 11 2018,12446683
Mar 12 2018,4035653
Mar 13 2018,5167907
Mar 14 2018,3843374
Mar 15 2018,3632414
Mar 16 2018,7482380
Mar 17 2018,11558877
Mar 18 2018,7609433
Mar 19 2018,2188463
Mar 20 2018,2834515
Mar 21 2018,2052932
Mar 22 2018,2155108
Mar 23 2018,4415270
Mar 24 2018,7643962
Mar 25 2018,5040386
Mar 26 2018,1819598
Mar 27 2018,2456628
Mar 28 2018,1742732
Mar 29 2018,2059822
Mar 30 2018,4090617
Mar 31 2018,4300222
Apr 1 2018Easter Sunday,3096076
Apr 2 2018,1635447
Apr 3 2018,1667090
Apr 4 2018,1397293
Apr 5 2018,1302361
Apr 6 2018,2348902
Apr 7 2018,3929037
Apr 8 2018,2427029
Apr 9 2018,641593
Apr 10 2018,923753
Apr 11 2018,632898
Apr 12 2018,626570
Apr 13 2018,1449293
Apr 14 2018,2505569
Apr 15 2018,1823034
Apr 16 2018,535137
Apr 17 2018,613868
Apr 18 2018,505165
Apr 19 2018,554521
Apr 20 2018,1225404
Apr 21 2018,2229298
Apr 22 2018,1477925
Apr 23 2018,459094
Apr 24 2018,661084
Apr 25 2018,609661
Apr 26 2018,523914
Apr 27 2018,1369846
Apr 28 2018,2110787
Apr 29 2018,1255795
Apr 30 2018,431177
May 1 2018,479309
May 2 2018,350729
May 3 2018,354483
May 4 2018,927743
May 5 2018,1512050
May 6 2018,815184
May 7 2018,241681
May 8 2018,311374
May 9 2018,232496
May 10 2018,233468
May 11 2018,556249
May 12 2018,900185
May 13 2018,620773
May 14 2018,162347
May 15 2018,198067
May 16 2018,160829
May 17 2018,108724
May 18 2018,226955
May 19 2018,391144
May 20 2018,242343
May 21 2018,81235
May 22 2018,88204
May 23 2018,78622
May 24 2018,65954
May 25 2018,121934
May 26 2018,189036
May 27 2018,170136
May 28 2018Memorial Day,127885
May 29 2018,49508
May 30 2018,43627
May 31 2018,44581
Jun 1 2018,70350
Jun 2 2018,110148
Jun 3 2018,66403
Jun 4 2018,30750
Jun 5 2018,33500
Jun 6 2018,29757
Jun 7 2018,27210
Jun 8 2018,37265
Jun 9 2018,58555
Jun 10 2018,42873
Jun 11 2018,17538
Jun 12 2018,21765
Jun 13 2018,22113
Jun 14 2018,17178
Jun 15 2018,44906
Jun 16 2018,62110
Jun 17 2018,37967
Jun 18 2018,11964
Jun 19 2018,16329
Jun 20 2018,14844
Jun 21 2018,14994
Jun 22 2018,24089
Jun 23 2018,31741
Jun 24 2018,19895
Jun 25 2018,7751
Jun 26 2018,9390
Jun 27 2018,9023
Jun 28 2018,11341
Jun 29 2018,9506
Jun 30 2018,12578
Jul 1 2018,10340
Jul 2 2018,5385
Jul 3 2018,6679
Jul 4 2018Independence Day,8150
Jul 5 2018,7371
Jul 6 2018,11902
Jul 7 2018,13193
Jul 8 2018,6017
Jul 9 2018,2408
Jul 10 2018,3182
Jul 11 2018,2460
Jul 12 2018,3124
Jul 13 2018,4738
Jul 14 2018,5527
Jul 15 2018,3594
Jul 16 2018,1227
Jul 17 2018,1801
Jul 18 2018,1509
Jul 19 2018,1473
Jul 20 2018,7212
Jul 21 2018,10269
Jul 22 2018,7964
Jul 23 2018,5121
Jul 24 2018,5876
Jul 25 2018,5292
Jul 26 2018,3838
Jul 27 2018,1070
Jul 28 2018,780
Jul 29 2018,651
Jul 30 2018,404
Jul 31 2018,693
Aug 1 2018,400
Aug 2 2018,12594
Aug 3 2018,15389
Aug 4 2018,11846
Aug 5 2018,10154
Aug 6 2018,11434
Aug 7 2018,15236
Aug 8 2018,14452
Aug 9 2018,12029
