date,earnings
May 6 2016,75502161
May 7 2016,61209001
May 8 2016,42427980
May 9 2016,13291876
May 10 2016,13761120
May 11 2016,8976371
May 12 2016,8160569
May 13 2016,19612028
May 14 2016,31960342
May 15 2016,21064772
May 16 2016,4751083
May 17 2016,5928602
May 18 2016,3899984
May 19 2016,3730264
May 20 2016,8612395
May 21 2016,14623025
May 22 2016,9704319
May 23 2016,3020789
May 24 2016,2889710
May 25 2016,2272708
May 26 2016,2076849
May 27 2016,4046772
May 28 2016,5793941
May 29 2016,5555011
May 30 2016Memorial Day,4608785
May 31 2016,1548605
Jun 1 2016,1201806
Jun 2 2016,1118289
Jun 3 2016,2096013
Jun 4 2016,3311126
Jun 5 2016,2422340
Jun 6 2016,837255
Jun 7 2016,995368
Jun 8 2016,772948
Jun 9 2016,772941
Jun 10 2016,1169004
Jun 11 2016,1884866
Jun 12 2016,1260472
Jun 13 2016,484771
Jun 14 2016,636173
Jun 15 2016,548482
Jun 16 2016,440053
Jun 17 2016,582077
Jun 18 2016,855756
Jun 19 2016,893789
Jun 20 2016,302031
Jun 21 2016,329956
Jun 22 2016,281124
Jun 23 2016,263028
Jun 24 2016,425282
Jun 25 2016,588276
Jun 26 2016,355000
Jun 27 2016,183666
Jun 28 2016,229335
Jun 29 2016,217363
Jun 30 2016,160736
Jul 1 2016,215671
Jul 2 2016,307133
Jul 3 2016,247775
Jul 4 2016Independence Day,180650
Jul 5 2016,131064
Jul 6 2016,115631
Jul 7 2016,86852
Jul 8 2016,83589
Jul 9 2016,125342
Jul 10 2016,84286
Jul 11 2016,40987
Jul 12 2016,45003
Jul 13 2016,40041
Jul 14 2016,41782
Jul 15 2016,51682
Jul 16 2016,73531
Jul 17 2016,54276
Jul 18 2016,28135
Jul 19 2016,30311
Jul 20 2016,28503
Jul 21 2016,25713
Jul 22 2016,30426
Jul 23 2016,42236
Jul 24 2016,31021
Jul 25 2016,18022
Jul 26 2016,14819
Jul 27 2016,18186
Jul 28 2016,24168
Jul 29 2016,22983
Jul 30 2016,28018
Jul 31 2016,22608
Aug 1 2016,13157
Aug 2 2016,13013
Aug 3 2016,14568
Aug 4 2016,10526
Aug 5 2016,57308
Aug 6 2016,83853
Aug 7 2016,66025
Aug 8 2016,31668
Aug 9 2016,35795
Aug 10 2016,34535
Aug 11 2016,29503
Aug 12 2016,52167
Aug 13 2016,73940
Aug 14 2016,56169
Aug 15 2016,24358
Aug 16 2016,29764
Aug 17 2016,23724
Aug 18 2016,28060
Aug 19 2016,25724
Aug 20 2016,41953
Aug 21 2016,26658
Aug 22 2016,9182
Aug 23 2016,9228
Aug 24 2016,8727
Aug 25 2016,8727
Aug 26 2016,22948
Aug 27 2016,36726
Aug 28 2016,24284
Aug 29 2016,9292
Aug 30 2016,9544
Aug 31 2016,7938
Sep 1 2016,11038
Sep 2 2016,27318
Sep 3 2016,47504
Sep 4 2016,52640
Sep 5 2016Labor Day,28168
Sep 6 2016,3793
Sep 7 2016,3041
Sep 8 2016,3745
Sep 9 2016,6543
Sep 10 2016,11791
Sep 11 2016,6606
Sep 12 2016,1706
Sep 13 2016,2107
Sep 14 2016,1741
Sep 15 2016,1886
Sep 16 2016,3119
Sep 17 2016,6142
Sep 18 2016,3770
Sep 19 2016,787
Sep 20 2016,1057
Sep 21 2016,958
Sep 22 2016,993
