date,earnings
Jul 22 2011,25700189
Jul 23 2011,21943393
Jul 24 2011,17414942
Jul 25 2011,7752188
Jul 26 2011,7831121
Jul 27 2011,5801265
Jul 28 2011,5424170
Jul 29 2011,7864581
Jul 30 2011,9939604
Jul 31 2011,7750118
Aug 1 2011,3438458
Aug 2 2011,3621505
Aug 3 2011,2986118
Aug 4 2011,2714393
Aug 5 2011,3794738
Aug 6 2011,5183685
Aug 7 2011,4043499
Aug 8 2011,1672605
Aug 9 2011,1989856
Aug 10 2011,1503295
Aug 11 2011,1390483
Aug 12 2011,2056167
Aug 13 2011,2879093
Aug 14 2011,2275642
Aug 15 2011,985172
Aug 16 2011,1055121
Aug 17 2011,810629
Aug 18 2011,810084
Aug 19 2011,1187772
Aug 20 2011,1726846
Aug 21 2011,1200911
Aug 22 2011,452532
Aug 23 2011,486116
Aug 24 2011,400440
Aug 25 2011,435137
Aug 26 2011,628355
Aug 27 2011,955978
Aug 28 2011,664105
Aug 29 2011,238314
Aug 30 2011,256942
Aug 31 2011,214567
Sep 1 2011,219045
Sep 2 2011,456605
Sep 3 2011,713285
Sep 4 2011,758477
Sep 5 2011Labor Day,645219
Sep 6 2011,128530
Sep 7 2011,108701
Sep 8 2011,104019
Sep 9 2011,244177
Sep 10 2011,392501
Sep 11 2011,208975
Sep 12 2011,60731
Sep 13 2011,74404
Sep 14 2011,68137
Sep 15 2011,74639
Sep 16 2011,154360
Sep 17 2011,260287
Sep 18 2011,149299
Sep 19 2011,43210
Sep 20 2011,48639
Sep 21 2011,45188
Sep 22 2011,52376
Sep 23 2011,85428
Sep 24 2011,139519
Sep 25 2011,77082
Sep 26 2011,23466
Sep 27 2011,27108
Sep 28 2011,23873
Sep 29 2011,26802
Sep 30 2011,121298
Oct 1 2011,192122
Oct 2 2011,122787
Oct 3 2011,39115
Oct 4 2011,45104
Oct 5 2011,38374
Oct 6 2011,41089
Oct 7 2011,91790
Oct 8 2011,131960
Oct 9 2011,88003
Oct 10 2011Indig. Peoples' Day,43015
Oct 11 2011,31233
Oct 12 2011,28602
Oct 13 2011,31830
Oct 14 2011,70372
Oct 15 2011,103842
Oct 16 2011,59040
Oct 17 2011,19747
Oct 18 2011,22568
Oct 19 2011,20465
Oct 20 2011,26085
Oct 21 2011,51013
Oct 22 2011,70752
Oct 23 2011,38978
Oct 24 2011,11670
Oct 25 2011,13653
Oct 26 2011,11733
Oct 27 2011,12296
Oct 28 2011,22690
Oct 29 2011,35222
Oct 30 2011,20517
Oct 31 2011Halloween,7964
Nov 1 2011,7830
Nov 2 2011,6087
Nov 3 2011,6948
Nov 4 2011,17677
Nov 5 2011,25292
Nov 6 2011,13842
Nov 7 2011,3531
Nov 8 2011,4539
Nov 9 2011,3777
Nov 10 2011,5842
