date,earnings
Apr 4 2014,36926192
Apr 5 2014,34666864
Apr 6 2014,23430665
Apr 7 2014,6219552
Apr 8 2014,6977056
Apr 9 2014,4805702
Apr 10 2014,4582140
Apr 11 2014,11866741
Apr 12 2014,17734355
Apr 13 2014,11673765
Apr 14 2014,3462915
Apr 15 2014,4726740
Apr 16 2014,3524058
Apr 17 2014,4317709
Apr 18 2014,9503748
Apr 19 2014,10336793
Apr 20 2014Easter Sunday,5746515
Apr 21 2014,2595127
Apr 22 2014,2205248
Apr 23 2014,1773553
Apr 24 2014,1764778
Apr 25 2014,4415521
Apr 26 2014,7318408
Apr 27 2014,4485096
Apr 28 2014,1067512
Apr 29 2014,1340240
Apr 30 2014,1062874
May 1 2014,851344
May 2 2014,2099784
May 3 2014,3523955
May 4 2014,2150530
May 5 2014,511100
May 6 2014,664005
May 7 2014,538107
May 8 2014,509053
May 9 2014,1487247
May 10 2014,2551300
May 11 2014,1712046
May 12 2014,410819
May 13 2014,504171
May 14 2014,421532
May 15 2014,403386
May 16 2014,1020397
May 17 2014,1621781
May 18 2014,1021880
May 19 2014,373678
May 20 2014,345985
May 21 2014,294182
May 22 2014,294849
May 23 2014,444237
May 24 2014,670541
May 25 2014,629949
May 26 2014Memorial Day,526371
May 27 2014,161168
May 28 2014,146375
May 29 2014,129645
May 30 2014,179648
May 31 2014,290162
Jun 1 2014,157456
Jun 2 2014,64584
Jun 3 2014,74645
Jun 4 2014,68841
Jun 5 2014,62484
