date,earnings
Mar 8 2019,61715051
Mar 9 2019,52872536
Mar 10 2019,38845836
Mar 11 2019,10986773
Mar 12 2019,14641119
Mar 13 2019,8586183
Mar 14 2019,9248435
Mar 15 2019,19036521
Mar 16 2019,29418618
Mar 17 2019,19532991
Mar 18 2019,5195836
Mar 19 2019,7603865
Mar 20 2019,4567773
Mar 21 2019,4226298
Mar 22 2019,9120858
Mar 23 2019,15125497
Mar 24 2019,10025438
Mar 25 2019,2896405
Mar 26 2019,4331261
Mar 27 2019,2809109
Mar 28 2019,2519412
Mar 29 2019,5499784
Mar 30 2019,9089329
Mar 31 2019,6075151
Apr 1 2019,1658844
Apr 2 2019,2522851
Apr 3 2019,1719827
Apr 4 2019,1579962
Apr 5 2019,3447080
Apr 6 2019,5360651
Apr 7 2019,3624072
Apr 8 2019,865424
Apr 9 2019,1382319
Apr 10 2019,896187
Apr 11 2019,886285
Apr 12 2019,2214236
Apr 13 2019,3865716
Apr 14 2019,2531575
Apr 15 2019,884741
Apr 16 2019,1297834
Apr 17 2019,940412
Apr 18 2019,1278038
Apr 19 2019,3185900
Apr 20 2019,3650729
Apr 21 2019Easter Sunday,2268981
Apr 22 2019,1349021
Apr 23 2019,1477687
Apr 24 2019,1402687
Apr 25 2019,1267909
Apr 26 2019,2569646
Apr 27 2019,3544694
Apr 28 2019,2198411
Apr 29 2019,696976
Apr 30 2019,829625
May 1 2019,587159
May 2 2019,536460
May 3 2019,1259315
May 4 2019,1980908
May 5 2019,1042021
May 6 2019,283419
May 7 2019,394134
May 8 2019,276734
May 9 2019,235530
May 10 2019,485636
May 11 2019,803493
May 12 2019,557267
May 13 2019,152346
May 14 2019,195088
May 15 2019,143193
May 16 2019,115417
May 17 2019,194708
May 18 2019,337241
May 19 2019,204049
May 20 2019,77928
May 21 2019,75258
May 22 2019,64358
May 23 2019,52291
May 24 2019,111805
May 25 2019,155805
May 26 2019,140669
May 27 2019Memorial Day,86448
May 28 2019,34748
May 29 2019,28717
May 30 2019,30889
May 31 2019,62905
Jun 1 2019,90376
Jun 2 2019,35585
Jun 3 2019,17518
Jun 4 2019,21185
Jun 5 2019,19436
Jun 6 2019,15617
Jun 7 2019,44487
Jun 8 2019,69695
Jun 9 2019,50291
Jun 10 2019,20443
Jun 11 2019,25676
Jun 12 2019,20887
Jun 13 2019,20418
Jun 14 2019,27954
Jun 15 2019,43586
Jun 16 2019,38507
Jun 17 2019,12317
Jun 18 2019,13848
Jun 19 2019,12739
Jun 20 2019,14627
Jun 21 2019,18019
Jun 22 2019,25008
Jun 23 2019,18047
Jun 24 2019,7861
Jun 25 2019,10135
Jun 26 2019,8078
Jun 27 2019,9149
Jun 28 2019,6979
Jun 29 2019,9825
Jun 30 2019,8012
Jul 1 2019,5274
Jul 2 2019,5043
Jul 3 2019,4076
Jul 4 2019Independence Day,4803
