date,earnings
Nov 4 2016,32585335
Nov 5 2016,31368671
Nov 6 2016,21104305
Nov 7 2016,6209922
Nov 8 2016,7658060
Nov 9 2016,5061877
Nov 10 2016,5993999
Nov 11 2016,14926647
Nov 12 2016,17614185
Nov 13 2016,10429233
Nov 14 2016,2638728
Nov 15 2016,3717306
Nov 16 2016,2469584
Nov 17 2016,2089025
Nov 18 2016,4797445
Nov 19 2016,7869847
Nov 20 2016,5093768
Nov 21 2016,1964998
Nov 22 2016,2645540
Nov 23 2016,3118747
Nov 24 2016Thanksgiving,2683705
Nov 25 2016,5482371
Nov 26 2016,5426143
Nov 27 2016,2829431
Nov 28 2016,709192
Nov 29 2016,965951
Nov 30 2016,685595
Dec 1 2016,683567
Dec 2 2016,1789462
Dec 3 2016,3097547
Dec 4 2016,1797543
Dec 5 2016,499818
Dec 6 2016,709000
Dec 7 2016,514624
Dec 8 2016,500275
Dec 9 2016,1220454
Dec 10 2016,2113956
Dec 11 2016,1201417
Dec 12 2016,414096
Dec 13 2016,572331
Dec 14 2016,437236
Dec 15 2016,359091
Dec 16 2016,590378
Dec 17 2016,908386
Dec 18 2016,712148
Dec 19 2016,408378
Dec 20 2016,408645
Dec 21 2016,252769
Dec 22 2016,288235
Dec 23 2016,270316
Dec 24 2016,175277
Dec 25 2016Christmas Day,277395
Dec 26 2016,333753
Dec 27 2016,302095
Dec 28 2016,243554
Dec 29 2016,239954
Dec 30 2016,233029
Dec 31 2016New Year's Eve,181998
Jan 1 2017New Year's Day,231453
Jan 2 2017,215258
Jan 3 2017,113758
Jan 4 2017,79378
Jan 5 2017,74734
Jan 6 2017,89918
Jan 7 2017,136932
Jan 8 2017,80238
Jan 9 2017,31248
Jan 10 2017,44652
Jan 11 2017,30825
Jan 12 2017,30677
Jan 13 2017,51266
Jan 14 2017,91051
Jan 15 2017,64323
Jan 16 2017MLK Day,50672
Jan 17 2017,19380
Jan 18 2017,16097
Jan 19 2017,17183
Jan 20 2017,36714
Jan 21 2017,64539
Jan 22 2017,33542
Jan 23 2017,11183
Jan 24 2017,14225
Jan 25 2017,11915
Jan 26 2017,13635
Jan 27 2017,28885
Jan 28 2017,51132
Jan 29 2017,28637
Jan 30 2017,7130
Jan 31 2017,10088
Feb 1 2017,7656
Feb 2 2017,8382
Feb 3 2017,67861
Feb 4 2017,122833
Feb 5 2017,46593
Feb 6 2017,21745
Feb 7 2017,26320
Feb 8 2017,19504
Feb 9 2017,20907
Feb 10 2017,46993
Feb 11 2017,85810
Feb 12 2017,53736
Feb 13 2017,15696
Feb 14 2017,26459
Feb 15 2017,14453
Feb 16 2017,16438
Feb 17 2017,29588
Feb 18 2017,54296
Feb 19 2017,40630
Feb 20 2017Presidents' Day,30924
Feb 21 2017,11262
Feb 22 2017,9205
Feb 23 2017,10730
Feb 24 2017,20616
Feb 25 2017,37833
Feb 26 2017,23508
Feb 27 2017,5940
Feb 28 2017,6874
Mar 1 2017,5682
Mar 2 2017,6439
Mar 3 2017,10574
Mar 4 2017,21141
Mar 5 2017,13480
Mar 6 2017,3918
Mar 7 2017,4095
Mar 8 2017,3363
Mar 9 2017,4031
Mar 10 2017,4587
Mar 11 2017,8125
Mar 12 2017,5486
Mar 13 2017,2363
Mar 14 2017,2921
Mar 15 2017,2725
Mar 16 2017,3193
