date,earnings
Aug 1 2014,37845336
Aug 2 2014,30989857
Aug 3 2014,25485690
Aug 4 2014,11722356
Aug 5 2014,11907821
Aug 6 2014,8808382
Aug 7 2014,7631397
Aug 8 2014,12312683
Aug 9 2014,16947112
Aug 10 2014,12865127
Aug 11 2014,5343905
Aug 12 2014,6609534
Aug 13 2014,4849881
Aug 14 2014,4226740
Aug 15 2014,6940576
Aug 16 2014,10353882
Aug 17 2014,7821106
Aug 18 2014,2884902
Aug 19 2014,3511416
Aug 20 2014,2623129
Aug 21 2014,2573025
Aug 22 2014,4818549
Aug 23 2014,7480888
Aug 24 2014,4902775
Aug 25 2014,1662402
Aug 26 2014,2109302
Aug 27 2014,1507039
Aug 28 2014,1562456
Aug 29 2014,3846423
Aug 30 2014,6220274
Aug 31 2014,7015565
Sep 1 2014Labor Day,5824589
Sep 2 2014,1387915
Sep 3 2014,974670
Sep 4 2014,841150
Sep 5 2014,2707279
Sep 6 2014,5050351
Sep 7 2014,2599715
Sep 8 2014,721759
Sep 9 2014,941747
Sep 10 2014,728882
Sep 11 2014,727245
Sep 12 2014,2114165
Sep 13 2014,3905201
Sep 14 2014,2082992
Sep 15 2014,578865
Sep 16 2014,778903
Sep 17 2014,586451
Sep 18 2014,557622
Sep 19 2014,1382821
Sep 20 2014,2475953
Sep 21 2014,1383512
Sep 22 2014,364039
Sep 23 2014,448190
Sep 24 2014,382862
Sep 25 2014,476867
Sep 26 2014,1025002
Sep 27 2014,1771534
Sep 28 2014,969405
Sep 29 2014,284311
Sep 30 2014,341097
Oct 1 2014,273729
Oct 2 2014,258051
Oct 3 2014,801532
Oct 4 2014,1461506
Oct 5 2014,742045
Oct 6 2014,214336
Oct 7 2014,270901
Oct 8 2014,228921
Oct 9 2014,224259
Oct 10 2014,504205
Oct 11 2014,818411
Oct 12 2014,502247
Oct 13 2014Indig. Peoples' Day,309686
Oct 14 2014,160905
Oct 15 2014,143133
Oct 16 2014,124240
Oct 17 2014,280706
Oct 18 2014,451835
Oct 19 2014,227371
Oct 20 2014,79077
Oct 21 2014,83222
Oct 22 2014,70854
Oct 23 2014,69793
