date,earnings
May 5 2017,56078520
May 6 2017,51304539
May 7 2017,39127045
May 8 2017,9862655
May 9 2017,12097479
May 10 2017,7527728
May 11 2017,7159453
May 12 2017,16490524
May 13 2017,27879884
May 14 2017,20893084
May 15 2017,4701588
May 16 2017,5946795
May 17 2017,3971856
May 18 2017,3696324
May 19 2017,8717079
May 20 2017,14951137
May 21 2017,10985538
May 22 2017,3597323
May 23 2017,3388947
May 24 2017,2534650
May 25 2017,2403779
May 26 2017,5375096
May 27 2017,7883339
May 28 2017,7648686
May 29 2017Memorial Day,6282030
May 30 2017,2217839
May 31 2017,1611729
Jun 1 2017,1406686
Jun 2 2017,2689262
Jun 3 2017,4170243
Jun 4 2017,2979865
Jun 5 2017,1099210
Jun 6 2017,1436102
Jun 7 2017,997631
Jun 8 2017,1005527
Jun 9 2017,1694755
Jun 10 2017,2707697
Jun 11 2017,1909915
Jun 12 2017,761618
Jun 13 2017,1075963
Jun 14 2017,826311
Jun 15 2017,775584
Jun 16 2017,1223071
Jun 17 2017,1838088
Jun 18 2017,2010573
Jun 19 2017,609510
Jun 20 2017,684870
Jun 21 2017,467418
Jun 22 2017,508782
Jun 23 2017,889592
Jun 24 2017,1256695
Jun 25 2017,876755
Jun 26 2017,408199
Jun 27 2017,509858
Jun 28 2017,368212
Jun 29 2017,321337
Jun 30 2017,413183
Jul 1 2017,595852
Jul 2 2017,530484
Jul 3 2017,452714
Jul 4 2017Independence Day,425878
Jul 5 2017,237608
Jul 6 2017,200312
Jul 7 2017,248590
Jul 8 2017,351810
Jul 9 2017,259620
Jul 10 2017,123332
Jul 11 2017,153876
Jul 12 2017,117597
Jul 13 2017,107559
Jul 14 2017,147573
Jul 15 2017,212177
Jul 16 2017,149785
Jul 17 2017,78501
Jul 18 2017,95112
Jul 19 2017,80290
Jul 20 2017,69674
Jul 21 2017,107168
Jul 22 2017,153766
Jul 23 2017,103516
Jul 24 2017,55260
Jul 25 2017,65962
Jul 26 2017,54629
Jul 27 2017,51604
Jul 28 2017,85248
Jul 29 2017,119674
Jul 30 2017,72279
Jul 31 2017,41236
Aug 1 2017,48868
Aug 2 2017,47982
Aug 3 2017,42741
Aug 4 2017,119991
Aug 5 2017,185143
Aug 6 2017,148634
Aug 7 2017,61751
Aug 8 2017,62414
Aug 9 2017,50612
Aug 10 2017,47968
Aug 11 2017,73574
Aug 12 2017,109463
Aug 13 2017,74080
Aug 14 2017,30455
Aug 15 2017,36150
Aug 16 2017,31575
Aug 17 2017,30150
Aug 18 2017,52244
Aug 19 2017,80250
Aug 20 2017,55104
Aug 21 2017,18288
Aug 22 2017,20402
Aug 23 2017,17617
Aug 24 2017,16968
Aug 25 2017,31623
Aug 26 2017,50486
Aug 27 2017,36043
Aug 28 2017,10776
Aug 29 2017,11590
Aug 30 2017,9923
Aug 31 2017,10496
Sep 1 2017,44578
Sep 2 2017,86978
Sep 3 2017,85549
Sep 4 2017Labor Day,36407
Sep 5 2017,7985
Sep 6 2017,7269
Sep 7 2017,8943
Sep 8 2017,13026
Sep 9 2017,25007
Sep 10 2017,15169
Sep 11 2017,3669
Sep 12 2017,5205
Sep 13 2017,4432
Sep 14 2017,4442
Sep 15 2017,6348
Sep 16 2017,12286
Sep 17 2017,7719
Sep 18 2017,2030
Sep 19 2017,1943
Sep 20 2017,2312
Sep 21 2017,2599
