date,earnings
May 1 2008,3500000
May 2 2008,35234361
May 3 2008,37350099
May 4 2008,26034208
May 5 2008,6934568
May 6 2008,6505784
May 7 2008,5747344
May 8 2008,5328031
May 9 2008,14873192
May 10 2008,21374629
May 11 2008,14942808
May 12 2008,3850844
May 13 2008,3357146
May 14 2008,3082988
May 15 2008,3169387
May 16 2008,8659239
May 17 2008,13431355
May 18 2008,9748402
May 19 2008,3072182
May 20 2008,2219928
May 21 2008,1926258
May 22 2008,1824663
May 23 2008,5437126
May 24 2008,7898842
May 25 2008,7111285
May 26 2008Memorial Day,5663877
May 27 2008,1561073
May 28 2008,1395588
May 29 2008,1389865
May 30 2008,3783237
May 31 2008,6068126
Jun 1 2008,3689901
Jun 2 2008,1230719
Jun 3 2008,1336009
Jun 4 2008,1312678
Jun 5 2008,1324459
Jun 6 2008,2187329
Jun 7 2008,3164558
Jun 8 2008,2125552
Jun 9 2008,893971
Jun 10 2008,859778
Jun 11 2008,857937
Jun 12 2008,838628
Jun 13 2008,1466126
Jun 14 2008,2119187
Jun 15 2008,2035062
Jun 16 2008,720888
Jun 17 2008,680253
Jun 18 2008,723320
Jun 19 2008,743079
Jun 20 2008,1130531
Jun 21 2008,1644786
Jun 22 2008,1254955
Jun 23 2008,552947
Jun 24 2008,512328
Jun 25 2008,503165
Jun 26 2008,537624
Jun 27 2008,636953
Jun 28 2008,928651
Jun 29 2008,691509
Jun 30 2008,336907
Jul 1 2008,244176
Jul 2 2008,194080
Jul 3 2008,294039
Jul 4 2008Independence Day,405289
Jul 5 2008,627496
Jul 6 2008,426828
Jul 7 2008,190671
Jul 8 2008,191766
Jul 9 2008,193844
Jul 10 2008,197477
Jul 11 2008,266545
Jul 12 2008,393307
Jul 13 2008,279282
Jul 14 2008,126106
Jul 15 2008,124522
Jul 16 2008,132915
Jul 17 2008,120562
Jul 18 2008,141575
Jul 19 2008,189969
Jul 20 2008,120294
Jul 21 2008,55221
Jul 22 2008,57092
Jul 23 2008,62696
Jul 24 2008,63324
Jul 25 2008,92172
Jul 26 2008,127609
Jul 27 2008,90873
Jul 28 2008,42025
Jul 29 2008,50392
Jul 30 2008,46229
Jul 31 2008,42988
Aug 1 2008,174012
Aug 2 2008,234185
Aug 3 2008,171982
Aug 4 2008,91440
Aug 5 2008,94709
Aug 6 2008,84511
Aug 7 2008,83887
Aug 8 2008,123484
Aug 9 2008,177082
Aug 10 2008,125936
Aug 11 2008,60134
Aug 12 2008,61890
Aug 13 2008,62889
Aug 14 2008,63387
Aug 15 2008,101652
Aug 16 2008,146586
Aug 17 2008,92940
Aug 18 2008,41171
Aug 19 2008,46831
Aug 20 2008,43460
Aug 21 2008,40353
Aug 22 2008,72954
Aug 23 2008,106363
Aug 24 2008,64025
Aug 25 2008,22189
Aug 26 2008,26116
Aug 27 2008,24176
Aug 28 2008,24587
Aug 29 2008,49601
Aug 30 2008,84640
Aug 31 2008,89395
Sep 1 2008Labor Day,53520
Sep 2 2008,11162
Sep 3 2008,10305
Sep 4 2008,10893
Sep 5 2008,35385
Sep 6 2008,61965
Sep 7 2008,29384
Sep 8 2008,7192
Sep 9 2008,8577
Sep 10 2008,8265
Sep 11 2008,9120
Sep 12 2008,26103
Sep 13 2008,46788
Sep 14 2008,21925
Sep 15 2008,5552
Sep 16 2008,6383
Sep 17 2008,6697
Sep 18 2008,6745
Sep 19 2008,15656
Sep 20 2008,27820
Sep 21 2008,15561
Sep 22 2008,4631
Sep 23 2008,5731
Sep 24 2008,4955
Sep 25 2008,5345
Sep 26 2008,16942
Sep 27 2008,28836
Sep 28 2008,12586
Sep 29 2008,3737
Sep 30 2008,4033
Oct 1 2008,3455
Oct 2 2008,3794
May 6 2010,192025
