date,earnings
May 7 2010,51239677
May 8 2010,45776170
May 9 2010,31106633
May 10 2010,9366982
May 11 2010,8380235
May 12 2010,6951326
May 13 2010,6338848
May 14 2010,15120949
May 15 2010,22642564
May 16 2010,14277492
May 17 2010,3715485
May 18 2010,3565064
May 19 2010,3145551
May 20 2010,3037827
May 21 2010,7549509
May 22 2010,11505392
May 23 2010,7306357
May 24 2010,2215378
May 25 2010,1810492
May 26 2010,1684755
May 27 2010,1840224
May 28 2010,4440472
May 29 2010,6165974
May 30 2010,5852544
May 31 2010Memorial Day,4617249
Jun 1 2010,1386018
Jun 2 2010,1220457
Jun 3 2010,1251538
Jun 4 2010,2189199
Jun 5 2010,3482014
Jun 6 2010,2247495
Jun 7 2010,802229
Jun 8 2010,827461
Jun 9 2010,848031
Jun 10 2010,853593
Jun 11 2010,1342063
Jun 12 2010,1936638
Jun 13 2010,1242505
Jun 14 2010,538035
Jun 15 2010,511560
Jun 16 2010,536515
Jun 17 2010,469577
Jun 18 2010,715417
Jun 19 2010,1049141
Jun 20 2010,1107694
Jun 21 2010,342907
Jun 22 2010,331915
Jun 23 2010,300013
Jun 24 2010,322105
Jun 25 2010,410966
Jun 26 2010,593766
Jun 27 2010,431646
Jun 28 2010,194463
Jun 29 2010,180240
Jun 30 2010,175166
Jul 1 2010,160947
Jul 2 2010,215079
Jul 3 2010,243163
Jul 4 2010Independence Day,180072
Jul 5 2010,237520
Jul 6 2010,106552
Jul 7 2010,101621
Jul 8 2010,106069
Jul 9 2010,121643
Jul 10 2010,170995
Jul 11 2010,100117
Jul 12 2010,53511
Jul 13 2010,61215
Jul 14 2010,55289
Jul 15 2010,49541
Jul 16 2010,168147
Jul 17 2010,221843
Jul 18 2010,171750
Jul 19 2010,91726
Jul 20 2010,108329
Jul 21 2010,90655
Jul 22 2010,92549
Jul 23 2010,136636
Jul 24 2010,178357
Jul 25 2010,123982
Jul 26 2010,67183
Jul 27 2010,74910
Jul 28 2010,67734
Jul 29 2010,65079
Jul 30 2010,91350
Jul 31 2010,122483
Aug 1 2010,87444
Aug 2 2010,48008
Aug 3 2010,52668
Aug 4 2010,47133
Aug 5 2010,47850
Aug 6 2010,56802
Aug 7 2010,80884
Aug 8 2010,55829
Aug 9 2010,29331
Aug 10 2010,35097
Aug 11 2010,30077
Aug 12 2010,29869
Aug 13 2010,35383
Aug 14 2010,53704
Aug 15 2010,37791
Aug 16 2010,16883
Aug 17 2010,19044
Aug 18 2010,16801
Aug 19 2010,18184
