date,earnings
Jul 7 2017,50780982
Jul 8 2017,37045244
Jul 9 2017,29201277
Jul 10 2017,12201383
Jul 11 2017,15053665
Jul 12 2017,9902669
Jul 13 2017,8885094
Jul 14 2017,13628237
Jul 15 2017,17587320
Jul 16 2017,12989653
Jul 17 2017,5455599
Jul 18 2017,7536245
Jul 19 2017,4967279
Jul 20 2017,4466934
Jul 21 2017,6367940
Jul 22 2017,8931625
Jul 23 2017,6850520
Jul 24 2017,3361636
Jul 25 2017,4130653
Jul 26 2017,2787501
Jul 27 2017,2775349
Jul 28 2017,3978954
Jul 29 2017,5475665
Jul 30 2017,3806753
Jul 31 2017,1823408
Aug 1 2017,2474800
Aug 2 2017,1860586
Aug 3 2017,1780805
Aug 4 2017,2591449
Aug 5 2017,3633681
Aug 6 2017,2620848
Aug 7 2017,1551301
Aug 8 2017,1664147
Aug 9 2017,1120651
Aug 10 2017,1063841
Aug 11 2017,1726392
Aug 12 2017,2594056
Aug 13 2017,1702189
Aug 14 2017,804762
Aug 15 2017,1178004
Aug 16 2017,748199
Aug 17 2017,694085
Aug 18 2017,1271915
Aug 19 2017,1821210
Aug 20 2017,1163242
Aug 21 2017,461474
Aug 22 2017,700251
Aug 23 2017,470805
Aug 24 2017,427804
Aug 25 2017,808733
Aug 26 2017,1177786
Aug 27 2017,833957
Aug 28 2017,324871
Aug 29 2017,495789
Aug 30 2017,317257
Aug 31 2017,325071
Sep 1 2017,812869
Sep 2 2017,1428527
Sep 3 2017,1442793
Sep 4 2017Labor Day,1035187
Sep 5 2017,248359
Sep 6 2017,177324
Sep 7 2017,141189
Sep 8 2017,510344
Sep 9 2017,964539
Sep 10 2017,531866
Sep 11 2017,136069
Sep 12 2017,233482
Sep 13 2017,171846
Sep 14 2017,151308
Sep 15 2017,495641
Sep 16 2017,882823
Sep 17 2017,480276
Sep 18 2017,115873
Sep 19 2017,158822
Sep 20 2017,123733
Sep 21 2017,149246
Sep 22 2017,284164
Sep 23 2017,524302
Sep 24 2017,255246
Sep 25 2017,65319
Sep 26 2017,80845
Sep 27 2017,62918
Sep 28 2017,51861
Sep 29 2017,152271
Sep 30 2017,285045
Oct 1 2017,151616
Oct 2 2017,37584
Oct 3 2017,45131
Oct 4 2017,35378
Oct 5 2017,27762
Oct 6 2017,62551
Oct 7 2017,121196
Oct 8 2017,88829
Oct 9 2017Indig. Peoples' Day,50819
Oct 10 2017,27601
Oct 11 2017,22563
Oct 12 2017,18765
Oct 13 2017,73084
Oct 14 2017,127675
Oct 15 2017,82194
Oct 16 2017,23005
Oct 17 2017,23605
Oct 18 2017,20365
Oct 19 2017,21059
Oct 20 2017,43470
Oct 21 2017,74830
Oct 22 2017,42379
Oct 23 2017,12009
Oct 24 2017,12283
Oct 25 2017,10738
Oct 26 2017,10936
Oct 27 2017,26734
Oct 28 2017,42152
Oct 29 2017,27677
Oct 30 2017,7089
Oct 31 2017Halloween,9398
Nov 1 2017,7925
Nov 2 2017,7901
Nov 3 2017,20142
Nov 4 2017,38464
Nov 5 2017,22505
Nov 6 2017,5068
Nov 7 2017,7259
Nov 8 2017,6093
Nov 9 2017,7247
Nov 10 2017,18446
Nov 11 2017,25353
Nov 12 2017,15008
Nov 13 2017,4937
Nov 14 2017,4841
Nov 15 2017,4888
Nov 16 2017,5771
Nov 17 2017,6609
Nov 18 2017,13487
Nov 19 2017,8771
Nov 20 2017,4167
Nov 21 2017,5642
Nov 22 2017,3159
Nov 23 2017Thanksgiving,2160
Nov 24 2017,6643
Nov 25 2017,6571
Nov 26 2017,2986
Nov 27 2017,690
Nov 28 2017,881
Nov 29 2017,615
Nov 30 2017,801
