date,earnings
May 4 2012,80813985
May 5 2012,69557990
May 6 2012,57066733
May 7 2012,18898999
May 8 2012,17677190
May 9 2012,13612910
May 10 2012,12391566
May 11 2012,29223517
May 12 2012,42905519
May 13 2012,30923238
May 14 2012,7923789
May 15 2012,8477854
May 16 2012,6339757
May 17 2012,6208368
May 18 2012,15236046
May 19 2012,23587069
May 20 2012,16820987
May 21 2012,5687934
May 22 2012,4917764
May 23 2012,3968406
May 24 2012,4445167
May 25 2012,9664323
May 26 2012,14066384
May 27 2012,12956164
May 28 2012Memorial Day,10535543
May 29 2012,3266753
May 30 2012,2515041
May 31 2012,2774984
Jun 1 2012,5641642
Jun 2 2012,9017913
Jun 3 2012,5826863
Jun 4 2012,2042375
Jun 5 2012,2221713
Jun 6 2012,1862060
Jun 7 2012,1974179
Jun 8 2012,3336924
Jun 9 2012,4546865
Jun 10 2012,3365949
Jun 11 2012,1385505
Jun 12 2012,1547796
Jun 13 2012,1349418
Jun 14 2012,1305722
Jun 15 2012,2206155
Jun 16 2012,3292985
Jun 17 2012,3406327
Jun 18 2012,1133339
Jun 19 2012,1163906
Jun 20 2012,1101648
Jun 21 2012,1054517
Jun 22 2012,2212406
Jun 23 2012,3041789
Jun 24 2012,1923466
Jun 25 2012,962092
Jun 26 2012,989546
Jun 27 2012,838655
Jun 28 2012,867338
Jun 29 2012,1305521
Jun 30 2012,1816647
Jul 1 2012,1299503
Jul 2 2012,714777
Jul 3 2012,544755
Jul 4 2012Independence Day,718276
Jul 5 2012,477208
Jul 6 2012,680818
Jul 7 2012,918223
Jul 8 2012,569083
Jul 9 2012,261442
Jul 10 2012,311771
Jul 11 2012,272336
Jul 12 2012,288299
Jul 13 2012,395434
Jul 14 2012,587183
Jul 15 2012,416137
Jul 16 2012,188724
Jul 17 2012,221405
Jul 18 2012,194838
Jul 19 2012,172561
Jul 20 2012,190088
Jul 21 2012,254913
Jul 22 2012,175410
Jul 23 2012,98364
Jul 24 2012,123367
Jul 25 2012,93538
Jul 26 2012,110157
Aug 31 2012,383116
Sep 1 2012,688184
Sep 2 2012,839401
Sep 3 2012Labor Day,563243
Sep 4 2012,121773
Sep 5 2012,87197
Sep 6 2012,95639
Sep 7 2012,217231
Sep 8 2012,405843
Sep 9 2012,163107
Sep 10 2012,46138
Sep 11 2012,56594
Sep 12 2012,51689
Sep 13 2012,54171
