date,earnings
Jun 13 2008,21468125
Jun 14 2008,18383725
Jun 15 2008,15562200
Jun 16 2008,6010405
Jun 17 2008,4801850
Jun 18 2008,4503925
Jun 19 2008,4189140
Jun 20 2008,6665335
Jun 21 2008,8559520
Jun 22 2008,6911205
Jun 23 2008,2649125
Jun 24 2008,2333405
Jun 25 2008,2122340
Jun 26 2008,2121665
Jun 27 2008,2930375
Jun 28 2008,3749985
Jun 29 2008,2896885
Jun 30 2008,1323125
Jul 1 2008,1039225
Jul 2 2008,723505
Jul 3 2008,997050
Jul 4 2008Independence Day,1262845
Jul 5 2008,2114885
Jul 6 2008,1521550
Jul 7 2008,700225
Jul 8 2008,701005
Jul 9 2008,699435
Jul 10 2008,639030
Jul 11 2008,690475
Jul 12 2008,943395
Jul 13 2008,690475
Jul 14 2008,330650
Jul 15 2008,319995
Jul 16 2008,312125
Jul 17 2008,272445
Jul 18 2008,196785
Jul 19 2008,249280
Jul 20 2008,180450
Jul 21 2008,88560
Jul 22 2008,85280
Jul 23 2008,85335
Jul 24 2008,91840
Jul 25 2008,128960
Jul 26 2008,167245
Jul 27 2008,126945
Jul 28 2008,64480
Jul 29 2008,68605
Jul 30 2008,68450
Jul 31 2008,62465
Aug 1 2008,159280
Aug 2 2008,190050
Aug 3 2008,128510
Aug 4 2008,72395
Aug 5 2008,72445
Aug 6 2008,52965
Aug 7 2008,54570
Aug 8 2008,86320
Aug 9 2008,136115
Aug 10 2008,86355
Aug 11 2008,41500
Aug 12 2008,46595
Aug 13 2008,38495
Aug 14 2008,38445
Aug 15 2008,51300
Aug 16 2008,76380
Aug 17 2008,52440
Aug 18 2008,21660
Aug 19 2008,25080
Aug 20 2008,23895
Aug 21 2008,23940
Aug 22 2008,29445
Aug 23 2008,46055
Aug 24 2008,27935
Aug 25 2008,10570
Aug 26 2008,9815
Aug 27 2008,9230
Aug 28 2008,9815
Aug 29 2008,15485
Aug 30 2008,27510
Aug 31 2008,30500
Sep 1 2008Labor Day,17965
Sep 2 2008,4995
Sep 3 2008,5495
Sep 4 2008,5005
