date,earnings
May 6 2011,25481796
May 7 2011,23341263
May 8 2011,16900279
May 9 2011,5403057
May 10 2011,5410419
May 11 2011,4189021
May 12 2011,4026482
May 13 2011,9140767
May 14 2011,15171878
May 15 2011,10390390
May 16 2011,2856650
May 17 2011,3090024
May 18 2011,2303232
May 19 2011,2200897
May 20 2011,4353422
May 21 2011,6492846
May 22 2011,4609036
May 23 2011,1678808
May 24 2011,1284927
May 25 2011,1085331
May 26 2011,948778
May 27 2011,2483793
May 28 2011,3639713
May 29 2011,3410364
May 30 2011Memorial Day,2546271
May 31 2011,853193
Jun 1 2011,772079
Jun 2 2011,808188
Jun 3 2011,1245864
Jun 4 2011,1830703
Jun 5 2011,1173477
Jun 6 2011,500801
Jun 7 2011,550679
Jun 8 2011,510429
Jun 9 2011,544651
Jun 10 2011,712214
Jun 11 2011,1057322
Jun 12 2011,665679
Jun 13 2011,302910
Jun 14 2011,341126
Jun 15 2011,309120
Jun 16 2011,348123
Jun 17 2011,312243
Jun 18 2011,434218
Jun 19 2011,398615
Jun 20 2011,143401
Jun 21 2011,155702
Jun 22 2011,144504
Jun 23 2011,157379
Jun 24 2011,154518
Jun 25 2011,208802
Jun 26 2011,147980
Jun 27 2011,74284
Jun 28 2011,81194
Jun 29 2011,63035
Jun 30 2011,75403
Jul 1 2011,123076
Jul 2 2011,163140
Jul 3 2011,114087
Jul 4 2011Independence Day,70517
Jul 5 2011,63062
Jul 6 2011,55894
Jul 7 2011,59607
Jul 8 2011,176891
Jul 9 2011,224225
Jul 10 2011,172192
Jul 11 2011,93836
Jul 12 2011,108238
Jul 13 2011,88512
Jul 14 2011,84450
Jul 15 2011,110300
Jul 16 2011,156156
Jul 17 2011,119699
Jul 18 2011,68008
Jul 19 2011,80002
Jul 20 2011,69202
Jul 21 2011,74814
Jul 22 2011,100665
Jul 23 2011,135923
Jul 24 2011,106412
Jul 25 2011,58223
Jul 26 2011,66247
Jul 27 2011,55718
Jul 28 2011,56888
Jul 29 2011,60513
Jul 30 2011,79500
Jul 31 2011,67518
Aug 1 2011,33485
Aug 2 2011,36002
Aug 3 2011,32931
Aug 4 2011,33334
Aug 5 2011,32242
Aug 6 2011,44223
Aug 7 2011,32639
Aug 8 2011,17362
Aug 9 2011,21329
Aug 10 2011,16730
Aug 11 2011,16720
Aug 12 2011,15912
Aug 13 2011,22804
Aug 14 2011,16320
Aug 15 2011,7921
Aug 16 2011,8551
Aug 17 2011,7773
Aug 18 2011,7335
Aug 19 2011,9434
Aug 20 2011,13231
Aug 21 2011,8068
Aug 22 2011,3538
Aug 23 2011,3805
Aug 24 2011,4020
Aug 25 2011,4120
