date,earnings
Nov 3 2017,46470936
Nov 4 2017,44203752
Nov 5 2017,32070301
Nov 6 2017,8247661
Nov 7 2017,10824443
Nov 8 2017,6148407
Nov 9 2017,7024207
Nov 10 2017,18361360
Nov 11 2017,23744122
Nov 12 2017,14972824
Nov 13 2017,3699478
Nov 14 2017,4489361
Nov 15 2017,2919452
Nov 16 2017,2419866
Nov 17 2017,5735104
Nov 18 2017,9559369
Nov 19 2017,6375127
Nov 20 2017,2457686
Nov 21 2017,3489938
Nov 22 2017,4038922
Nov 23 2017Thanksgiving,3534961
Nov 24 2017,6718044
Nov 25 2017,6581173
Nov 26 2017,3564077
Nov 27 2017,872200
Nov 28 2017,1156251
Nov 29 2017,919744
Nov 30 2017,1148833
Dec 1 2017,2695400
Dec 2 2017,4425036
Dec 3 2017,2765500
Dec 4 2017,753838
Dec 5 2017,1023330
Dec 6 2017,734214
Dec 7 2017,720147
Dec 8 2017,1677125
Dec 9 2017,2843711
Dec 10 2017,1750538
Dec 11 2017,516235
Dec 12 2017,740606
Dec 13 2017,556948
Dec 14 2017,443893
Dec 15 2017,784873
Dec 16 2017,1350766
Dec 17 2017,997777
Dec 18 2017,440793
Dec 19 2017,598002
Dec 20 2017,383763
Dec 21 2017,340664
Dec 22 2017,292159
Dec 23 2017,341142
Dec 24 2017,200577
Dec 25 2017Christmas Day,329457
Dec 26 2017,330578
Dec 27 2017,289463
Dec 28 2017,296105
Dec 29 2017,306552
Dec 30 2017,341736
Dec 31 2017New Year's Eve,206623
Jan 1 2018New Year's Day,274976
Jan 2 2018,182206
Jan 3 2018,137563
Jan 4 2018,124891
Jan 5 2018,155985
Jan 6 2018,226596
Jan 7 2018,132359
Jan 8 2018,44384
Jan 9 2018,53119
Jan 10 2018,45469
Jan 11 2018,38622
Jan 12 2018,88750
Jan 13 2018,160406
Jan 14 2018,121803
Jan 15 2018MLK Day,90023
Jan 16 2018,35544
Jan 17 2018,31458
Jan 18 2018,29227
Jan 19 2018,62799
Jan 20 2018,115885
Jan 21 2018,55832
Jan 22 2018,18704
Jan 23 2018,22413
Jan 24 2018,19447
Jan 25 2018,19398
Jan 26 2018,45863
Jan 27 2018,85199
Jan 28 2018,50767
Jan 29 2018,13645
Jan 30 2018,14421
Jan 31 2018,13085
Feb 1 2018,15284
Feb 2 2018,66416
Feb 3 2018,129013
Feb 4 2018,49521
Feb 5 2018,23404
Feb 6 2018,25395
Feb 7 2018,22620
Feb 8 2018,23583
Feb 9 2018,50174
Feb 10 2018,105374
Feb 11 2018,69523
Feb 12 2018,18288
Feb 13 2018,18390
Feb 14 2018,27444
Feb 15 2018,17706
Feb 16 2018,47125
Feb 17 2018,84659
Feb 18 2018,63913
Feb 19 2018Presidents' Day,38914
Feb 20 2018,14928
Feb 21 2018,12837
Feb 22 2018,14502
Feb 23 2018,33754
Feb 24 2018,65797
Feb 25 2018,37815
Feb 26 2018,9094
Feb 27 2018,8386
Feb 28 2018,7744
Mar 1 2018,9653
Mar 2 2018,32485
Mar 3 2018,60112
Mar 4 2018,25977
Mar 5 2018,6510
Mar 6 2018,6578
Mar 7 2018,6870
Mar 8 2018,7326
Mar 9 2018,10006
Mar 10 2018,18645
Mar 11 2018,13213
Mar 12 2018,5334
Mar 13 2018,6502
Mar 14 2018,5751
Mar 15 2018,5735
