date,earnings
Nov 8 2013,31899210
Nov 9 2013,32078010
Nov 10 2013,21760621
Nov 11 2013,10417194
Nov 12 2013,5244111
Nov 13 2013,3565731
Nov 14 2013,3546237
Nov 15 2013,10524470
Nov 16 2013,16761427
Nov 17 2013,9300119
Nov 18 2013,2209623
Nov 19 2013,2729808
Nov 20 2013,2004268
Nov 21 2013,1679992
Nov 22 2013,4041487
Nov 23 2013,6378333
Nov 24 2013,3776482
Nov 25 2013,1360662
Nov 26 2013,1941500
Nov 27 2013,2346359
Nov 28 2013Thanksgiving,2054146
Nov 29 2013,4477422
Nov 30 2013,4461688
Dec 1 2013,2146186
Dec 2 2013,531201
Dec 3 2013,655345
Dec 4 2013,498942
Dec 5 2013,509068
Dec 6 2013,1295977
Dec 7 2013,2272980
Dec 8 2013,1242588
Dec 9 2013,397478
Dec 10 2013,509966
Dec 11 2013,401237
Dec 12 2013,405821
Dec 13 2013,801586
Dec 14 2013,1206083
Dec 15 2013,812386
Dec 16 2013,301519
Dec 17 2013,342564
Dec 18 2013,273905
Dec 19 2013,274376
Dec 20 2013,361847
Dec 21 2013,522668
Dec 22 2013,457248
Dec 23 2013,365540
Dec 24 2013,261885
Dec 25 2013Christmas Day,151326
Dec 26 2013,168915
Dec 27 2013,209196
Dec 28 2013,248434
Dec 29 2013,178443
Dec 30 2013,151512
Dec 31 2013New Year's Eve,136610
Jan 1 2014New Year's Day,205020
Jan 2 2014,115945
Jan 3 2014,165675
Jan 4 2014,205566
Jan 5 2014,105266
Jan 6 2014,43806
Jan 7 2014,49569
Jan 8 2014,39457
Jan 9 2014,37550
Jan 10 2014,85088
Jan 11 2014,151370
Jan 12 2014,78436
Jan 13 2014,24545
Jan 14 2014,29710
Jan 15 2014,25925
Jan 16 2014,27102
